post_id,pattern_name,posted_at,slot_hour,day_name,first_line,threads_url,elapsed_hours,views,likes,replies,reposts,auto_replies,er_pct,velocity_views_per_hour,peak_velocity,peak_velocity_hour,snapshot_at
post_20260330_th_006,自由型_水星逆行対策,2026-03-31T10:37:23.070412+09:00,10,火,水星逆行が,,18,97,1,0,0,0,1.03,5.4,5.4,18,2026-04-01T05:00:46.366302+09:00
post_20260330_th_006,自由型_水星逆行対策,2026-03-31T10:37:23.070412+09:00,10,火,水星逆行が,,20,98,1,0,0,0,1.02,0.5,5.4,18,2026-04-01T07:06:09.073537+09:00
post_20260330_th_006,自由型_水星逆行対策,2026-03-31T10:37:23.070412+09:00,10,火,水星逆行が,,22,98,1,0,0,0,1.02,0.0,5.4,18,2026-04-01T09:01:24.379689+09:00
post_20260330_th_006,自由型_水星逆行対策,2026-03-31T10:37:23.070412+09:00,10,火,水星逆行が,,56,99,1,0,0,0,1.01,0.0,5.4,18,2026-04-02T19:31:23.383891+09:00
post_20260330_th_006,自由型_水星逆行対策,2026-03-31T10:37:23.070412+09:00,10,火,水星逆行が,,57,99,1,0,0,0,1.01,0.0,5.4,18,2026-04-02T20:09:09.921050+09:00
post_20260330_th_006,自由型_水星逆行対策,2026-03-31T10:37:23.070412+09:00,10,火,水星逆行が,,58,99,1,0,0,0,1.01,0.0,5.4,18,2026-04-02T20:59:56.905009+09:00
post_20260331_1207_th_001,構造C_共感型_仕事運,2026-03-31T15:07:19.532258+09:00,15,火,最近、仕事で判断を迷う,,13,23,1,0,0,0,4.35,1.8,1.8,13,2026-04-01T05:00:46.366302+09:00
post_20260331_1207_th_001,構造C_共感型_仕事運,2026-03-31T15:07:19.532258+09:00,15,火,最近、仕事で判断を迷う,,15,23,1,0,0,0,4.35,0.0,1.8,13,2026-04-01T07:06:09.073537+09:00
post_20260331_1207_th_001,構造C_共感型_仕事運,2026-03-31T15:07:19.532258+09:00,15,火,最近、仕事で判断を迷う,,17,23,1,0,0,0,4.35,0.0,1.8,13,2026-04-01T09:01:24.379689+09:00
post_20260331_1207_th_001,構造C_共感型_仕事運,2026-03-31T15:07:19.532258+09:00,15,火,最近、仕事で判断を迷う,,52,25,1,0,0,0,4.0,0.1,1.8,13,2026-04-02T19:31:23.383891+09:00
post_20260331_1207_th_001,構造C_共感型_仕事運,2026-03-31T15:07:19.532258+09:00,15,火,最近、仕事で判断を迷う,,53,25,1,0,0,0,4.0,0.0,1.8,13,2026-04-02T20:09:09.921050+09:00
post_20260331_1207_th_004,自由型_総合運メッセージ,2026-03-31T17:13:40.784035+09:00,17,火,新しい月が始まる時、,,11,20,1,0,0,0,5.0,1.8,1.8,11,2026-04-01T05:00:46.366302+09:00
post_20260331_1207_th_004,自由型_総合運メッセージ,2026-03-31T17:13:40.784035+09:00,17,火,新しい月が始まる時、,,13,21,1,0,0,0,4.76,0.5,1.8,11,2026-04-01T07:06:09.073537+09:00
post_20260331_1207_th_004,自由型_総合運メッセージ,2026-03-31T17:13:40.784035+09:00,17,火,新しい月が始まる時、,,15,21,1,0,0,0,4.76,0.0,1.8,11,2026-04-01T09:01:24.379689+09:00
post_20260331_1207_th_004,自由型_総合運メッセージ,2026-03-31T17:13:40.784035+09:00,17,火,新しい月が始まる時、,,50,24,0,0,0,0,0.0,0.1,1.8,11,2026-04-02T19:31:23.383891+09:00
post_20260331_2224_exp_001,構造G_注意喚起+限定型（今日・今週の仕事運警告）,2026-04-01T07:07:20.915351+09:00,7,水,今週後半、仕事で判断ミスが起きやすい星座。,,1,53,2,0,0,0,3.77,53.0,53.0,1,2026-04-01T09:01:24.379689+09:00
post_20260331_2224_exp_001,構造G_注意喚起+限定型（今日・今週の仕事運警告）,2026-04-01T07:07:20.915351+09:00,7,水,今週後半、仕事で判断ミスが起きやすい星座。,,36,66,2,0,0,0,3.03,0.4,53.0,1,2026-04-02T19:31:23.383891+09:00
post_20260401_0907_th_001,構造C_天文イベント×質問型,2026-04-01T09:07:38.032394+09:00,9,水,ここ数日、なんか,https://www.threads.com/@yozora.uranai/post/DWkX-v9FDTv,34,24,2,0,0,0,8.33,0.7,0.7,34,2026-04-02T19:31:23.383891+09:00
post_20260401_1037_th_001,構造自由_共感質問型,2026-04-01T12:07:20.100286+09:00,12,水,春の季節の変わり目って、,https://www.threads.com/@yozora.uranai/post/DWksitbFPSr,31,52,1,0,0,0,1.92,1.7,1.7,31,2026-04-02T19:31:23.383891+09:00
post_20260401_1208_th_001,構造自由_共感×深掘り質問型,2026-04-01T15:07:21.550619+09:00,15,水,新しい季節、何か,https://www.threads.com/@yozora.uranai/post/DWlBI-Zklm0,28,27,0,0,0,0,0.0,1.0,1.0,28,2026-04-02T19:31:23.383891+09:00
verify-retry-20260402091217,,2026-04-02T09:12:17.700725+09:00,9,木,最近、恋愛で,https://www.threads.com/@yozora.uranai/post/DWm9Tb3lZhN,10,33,0,0,0,0,0.0,3.3,3.3,10,2026-04-02T19:31:23.383891+09:00
post_20260402_1207_th_001,深掘り共感型_春の転機,2026-04-02T12:07:39.402223+09:00,12,木,春の星の動きを見ていて,https://www.threads.com/@yozora.uranai/post/DWnRX5wFJQ8,7,31,2,0,0,0,6.45,4.4,4.4,7,2026-04-02T19:31:23.383891+09:00
post_20260402_1207_th_001,深掘り共感型_春の転機,2026-04-02T12:07:39.402223+09:00,12,木,春の星の動きを見ていて,https://www.threads.com/@yozora.uranai/post/DWnRX5wFJQ8,8,31,2,0,0,0,6.45,0.0,4.4,7,2026-04-02T20:09:09.921050+09:00
post_20260402_1207_th_001,深掘り共感型_春の転機,2026-04-02T12:07:39.402223+09:00,12,木,春の星の動きを見ていて,https://www.threads.com/@yozora.uranai/post/DWnRX5wFJQ8,12,32,2,0,0,0,6.25,0.2,4.4,7,2026-04-03T00:45:13.160974+09:00
post_20260402_1208_th_001,共感×質問型・春の新しい流れ,2026-04-02T13:07:23.425338+09:00,13,木,4月に入って、何か,https://www.threads.com/@yozora.uranai/post/DWnYNa_lBCS,6,22,3,0,0,0,13.64,3.7,3.7,6,2026-04-02T19:31:23.383891+09:00
post_20260402_1208_th_001,共感×質問型・春の新しい流れ,2026-04-02T13:07:23.425338+09:00,13,木,4月に入って、何か,https://www.threads.com/@yozora.uranai/post/DWnYNa_lBCS,7,24,3,0,0,0,12.5,2.0,3.7,6,2026-04-02T20:09:09.921050+09:00
post_20260402_1208_th_001,共感×質問型・春の新しい流れ,2026-04-02T13:07:23.425338+09:00,13,木,4月に入って、何か,https://www.threads.com/@yozora.uranai/post/DWnYNa_lBCS,11,26,4,0,0,0,15.38,0.5,3.7,6,2026-04-03T00:45:13.160974+09:00
post_20260402_1507_th_001,構造C_天文イベント×質問型（新月パワー）,2026-04-02T15:07:43.074257+09:00,15,木,4月中旬の新月、,https://www.threads.com/@yozora.uranai/post/DWnl-p8FH5w,4,22,2,0,0,0,9.09,5.5,5.5,4,2026-04-02T19:31:23.383891+09:00
post_20260402_1507_th_001,構造C_天文イベント×質問型（新月パワー）,2026-04-02T15:07:43.074257+09:00,15,木,4月中旬の新月、,https://www.threads.com/@yozora.uranai/post/DWnl-p8FH5w,5,22,2,0,0,0,9.09,0.0,5.5,4,2026-04-02T20:09:09.921050+09:00
post_20260402_1507_th_001,構造C_天文イベント×質問型（新月パワー）,2026-04-02T15:07:43.074257+09:00,15,木,4月中旬の新月、,https://www.threads.com/@yozora.uranai/post/DWnl-p8FH5w,9,25,2,0,0,0,8.0,0.8,5.5,4,2026-04-03T00:45:13.160974+09:00
post_20260402_1507_th_001,構造C_天文イベント×質問型（新月パワー）,2026-04-02T15:07:43.074257+09:00,15,木,4月中旬の新月、,https://www.threads.com/@yozora.uranai/post/DWnl-p8FH5w,13,25,2,0,0,0,8.0,0.0,5.5,4,2026-04-03T04:37:01.974483+09:00
post_20260402_1507_th_001,構造C_天文イベント×質問型（新月パワー）,2026-04-02T15:07:43.074257+09:00,15,木,4月中旬の新月、,https://www.threads.com/@yozora.uranai/post/DWnl-p8FH5w,15,25,2,0,0,0,8.0,0.0,5.5,4,2026-04-03T07:04:36.575541+09:00
